"Title","Release Year","Locations","Fun Facts","Production Company","Distributor","Director","Writer","Actor 1","Actor 2","Actor 3","Point","Longitude","Latitude","Analysis Neighborhood","Supervisor District","data_as_of","data_loaded_at"
"Foul Play","1978","Laguna & Sacramento Streets (Pacific Heights)",,"Paramount Pictures","Paramount Pictures","Colin Higgins","Colin Higgins","Goldie Hawn","Chevy Chase","Burgess Meredith","POINT (-122.4291049 37.7904754)","-122.4291049","37.7904754","Pacific Heights","2","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Magnum Force","1973","Pacific Heights Towers (2200 Sacramento Street, Pacific Heights)",,"The Malpaso Company","Warner Bros. Pictures","Ted Post","John Milius","Clint Eastwood","Hal Holbrook","Mitchell Ryan","POINT (-122.4294937 37.7906712)","-122.4294937","37.7906712","Pacific Heights","2","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Chance - Season 1 Pilot","2016","William Stout Architectural Books, 804 Montgomery St.",,"TVM Productions","HULU","Lenny Abrahamson","Alexandra Cunningham and Kem Nunn","Hugh Laurie","Gretchen Mol","Ethan Suplee","POINT (-122.4033161 37.7966361)","-122.4033161","37.7966361","Chinatown","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Sister Act 2: Back in the Habit","1993","Carnelian Room, Bank of America Building (555 California Street, 53rd Floor)","The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.","Touchstone Pictures","Buena Vista Pictures","Bill Duke","Joseph Howard","Whoopi Goldberg","Maggie Smith",,"POINT (-122.4037515 37.7924396)","-122.4037515","37.7924396","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Women is Losers","2020","Capp St at 25th St",,"Look at the Moon Pictures",,"Lissette Feliciano","Lissette Feliciano","Lorenza Izzo","Simu Liu","Liza Weil","POINT (-122.4172258 37.7507117)","-122.4172258","37.7507117","Mission","9","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Sense8","2015","Irving St. at 9th Ave.","continuous driving shots of a taxi going with the flow of existing traffic","Unpronounceable Productions, LLC","Netflix","The Wachowskis","The Wachowskis","Jamie Clayton",,,"POINT (-122.4663309 37.7640567)","-122.4663309","37.7640567","Inner Sunset","7","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Doctor Dolittle","1998","Telegraph Hill Blvd (Telegraph Hill)",,"Twentieth Century Fox Film Cooperation","Twentieth Century Fox Film Cooperation","Betty Thomas","Nat Mauldin","Eddie Murphy","Ossie Davis",,"POINT (-122.4060487 37.8027862)","-122.4060487","37.8027862","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Looking","2014","1890 Clay St.",,"Mission Street Productions, LLC","Home Box Office (HBO)","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie J. Alvarez","Murray Bartlett","POINT (-122.4238729 37.7922528)","-122.4238729","37.7922528","Pacific Heights","2","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Shang-Chi and the Legend of the Ten Rings","2021","Fairmont Hotel, 950 Mason",,"Freelance Restorations LLC","Disney/Marvel","Destin Daniel Cretton","Dave Callaham, Destin Daniel Cretton, Andrew Lanham","Simu Liu","Tony Chiu-Wai Leung","Awkwafina","POINT (-122.4104443 37.7923897)","-122.4104443","37.7923897","Nob Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Chance- Season 1 ep104","2016","Bush and Sansome St.",,"TVM Productions","HULU","Carl Franklin","Peter Elkoff","Hugh Laurie","Gretchen Mol","Ethan Suplee","POINT (-122.4007722 37.791194)","-122.4007722","37.791194","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Big Eyes","2014","Harry's Bar on Fillmore",,"Blink & Wink Productions","Weinstein Company","Tim Burton","Scott Alexander","Amy Adams","Krysten Ritter","Christoph Waltz","POINT (-122.4335403 37.7883758)","-122.4335403","37.7883758","Pacific Heights","2","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Tales of the City","2019","Valencia btwn 16th and 17th St",,"Universal Television LLC","Netflix","Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley","Laura Linney","Ellen Page","Murray Bartlett","POINT (-122.4219564 37.764908)","-122.4219564","37.764908","Mission","9","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Diary of a Teenage Girl","2015","The Royal Oak",,"Diary the Movie, LLC","Sony Pictures Classics","Marielle Heller","Marielle Heller","Alexander Skarsgard","Kristen Wiig","Christopher Meloni","POINT (-122.4221877 37.7970285)","-122.4221877","37.7970285","Russian Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Last of the Gladiators","1988",,,"Twin Tower Enterprises","Evel Videos","Martin Jay Sadoff","Martin Jay Sadoff","Evel Knievel",,,,,,,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Doctor","1991",,,"Silver Screen Partners IV","Buena Vista Pictures","Randa Haines","Robert Caswell","William Hurt","Christine Lahti",,,,,,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The House on Telegraph Hill","1951","1227 Montgomery Street",,"Twentieth Century Fox Film Corp.","Twentieth Century Fox Film Corp.","Robert Wise","Elick Moll","Richard Basehart","Valentina Cortese","William Lundigan","POINT (-122.4045546 37.8004678)","-122.4045546","37.8004678","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Sonic the Hedgehog","2020","Areas around TransAmerica Building",,"Paramount Overseas Productions, Inc.","Paramount Pictures","Jeff Fowler","Josh Miller, Patrick Casey, Oren Uziel","Jim Carrey","James Marsden","Ben Schwartz","POINT (-122.4022806 37.7951667)","-122.4022806","37.7951667","Chinatown","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Family Plot","1976","Grace Cathedral Episcopal Church (1100 California Street)","Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.","Universal Pictures","Universal Pictures","Alfred Hitchcock","Ernest Lehman","Karen Black","Bruce Dern","Barbara Harris","POINT (-122.4133739 37.7918593)","-122.4133739","37.7918593","Nob Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Bridge","2006","Golden Gate Bridge","With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.","Easy There Tiger Productions","IFC Films","Eric Steel","N/A","John Snowden",,,"POINT (-122.4785598 37.8199109)","-122.4785598","37.8199109",,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"A Night Full of Rain","1978","San Francisco Chronicle (901 Mission Street at 15th Street)","The San Francisco Zodiac Killer of the late 1960s sent his notes and letters to the Chronicle's offices.","Liberty Film","Warner Bros. Pictures","Lina Wertmuller","Lina Wertmuller","Candice Bergen","Giancarlo Gianni",,"POINT (-122.4065207 37.7822008)","-122.4065207","37.7822008","South of Market","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Summertime","2015","53 Potomac St",,"Creative Monster Productions, Inc.","14 Distribution","Gabriele Muccino","Gabriele Muccino","Jessica Rothe","Scott Bakula","Matilda Anna Ingrid Lutz","POINT (-122.4327866 37.769982)","-122.4327866","37.769982","Haight Ashbury","8","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"I’m A Virgo","2023","Columbus Avenue between Pacifiic and Jackson",,"Bing Bang Productions Inc","Prime Video","Boots Riley","Boots Riley","Jharrel Jerome","Mike Epps","Carmen Ejogo","POINT (-122.40567 37.79706)","-122.40567","37.79706","Chinatown","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Jade","1995","Sheraton Palace Hotel (639 Market Street)","The hotel was destroyed in the 1906 earthquake and fire, had to be rebuilt, and was reopened in 1909.","Paramount Pictures","Paramount Pictures","William Friedkin","Joe Eszterhas","David Caruso","Linda Fiorentino","Chazz Palminteri","POINT (-122.401987 37.7888172)","-122.401987","37.7888172","Financial District/South Beach","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Bullitt","1968","Enrico's Café (504 Broadway)",,"Warner Brothers / Seven Arts Seven Arts","Warner Brothers","Peter Yates","Alan R. Trustman","Steve McQueen","Jacqueline Bisset","Robert Vaughn","POINT (-122.4056449 37.7981294)","-122.4056449","37.7981294","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Chance Season 2","2017","Mason between Sacramento and California St",,"TVM Productions Inc.","Hulu","Rozann Dawson","Alexandra Cunningham","Hugh Laurie","Greta Lee","Ethan Suplee","POINT (-122.4130739 37.7913967)","-122.4130739","37.7913967","Nob Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Barbary Coast","1935",,,"The Samuel Goldwyn Company","United Artists","Howard Hawks","Ben Hecht","Mariam Hopkins","Edward G. Robinson","Joel McCrea",,,,,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Murder in the First, Season 3","2016","500 Grove Street",,"Turner North Center Productions","Turner Network Television (TNT)","Steven Bochcho","Eric Lodal","Taye Diggs","Kathleen Robertson","Ian Anthony Dale","POINT (-122.4250694 37.7777521)","-122.4250694","37.7777521","Hayes Valley","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Chance Season 2","2017","Union St at Leavenworth St",,"TVM Productions Inc.","Hulu","Rozann Dawson","Alexandra Cunningham","Hugh Laurie","Greta Lee","Ethan Suplee","POINT (-122.4174339 37.7994215)","-122.4174339","37.7994215","Russian Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Mrs. Doubtfire","1993","Danilo's Bakery (Green Street & Bannam Place)",,"Twentieth Century Fox Film Corporation","Twentieth Century Fox Film Corporation","Chris Columbus","Randi Mayem Singer","Robin Williams","Sally Field","Pierce Brosnan","POINT (-122.4078578 37.7997928)","-122.4078578","37.7997928","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Boys and Girls","2000","628 Cole Street",,"Punch 21 Productions","Dimension Films","Robert Iscove","The Drews","Freddie Prinze, Jr.","Alyson Hannigan",,"POINT (-122.4505048 37.769187)","-122.4505048","37.769187","Haight Ashbury","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Beautiful Boy","2018","Wisconsin between 19th and 20th St",,"Big Indie Pictures","Amazon Studios","Felix van Groeningen","Luke Davies","Steve Carell","Timothee Chalamet","Maura Tierney",,,,,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Net","1995","Moscone Convention Center",,"Columbia Pictures Corp.","Columbia Pictures","Irwin Winkler","John Brancato","Sandra Bullock","Jeremy Northam",,"POINT (-122.40069 37.7843234)","-122.40069","37.7843234","South of Market","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Women is Losers","2020","2712 Bryant St",,"Look at the Moon Pictures",,"Lissette Feliciano","Lissette Feliciano","Lorenza Izzo","Simu Liu","Liza Weil","POINT (-122.4092406 37.750889)","-122.4092406","37.750889","Mission","9","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Bullitt","1968","Bay Bridge","Before opening in 1936, the bridge was blessed by Cardinal Secretary of State Eugenio Pacelli, who later became Pope Pius XII.","Warner Brothers / Seven Arts Seven Arts","Warner Brothers","Peter Yates","Alan R. Trustman","Steve McQueen","Jacqueline Bisset","Robert Vaughn","POINT (-122.3648992 37.8102258)","-122.3648992","37.8102258","Treasure Island","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Quitters","2015","Cal-Mart Supermarket",,"Frederick & Ashbury, LLC.",,"Noah Pritzker","Noah Pritzker","Kara Hayward","Mira Sorvino","Saffron Burrows","POINT (-122.4529153 37.7862725)","-122.4529153","37.7862725","Presidio Heights","2","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Foul Play","1978","430 Vallejo Street (Telegraph Hill)",,"Paramount Pictures","Paramount Pictures","Colin Higgins","Colin Higgins","Goldie Hawn","Chevy Chase","Burgess Meredith","POINT (-122.4046718 37.7993208)","-122.4046718","37.7993208","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Patch Adams","1998","Sheraton Palace Hotel (639 Market Street)","The hotel was destroyed in the 1906 earthquake and fire, had to be rebuilt, and was reopened in 1909.","Bungalow 78 Productions","Universal Pictures","Tom Shadyac","Steve Oedekerk","Robin Williams","Philip Seymour Hoffman",,"POINT (-122.401987 37.7888172)","-122.401987","37.7888172","Financial District/South Beach","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Looking","2014","Folsom Street Fair on Folsom St.",,"Mission Street Productions, LLC","Home Box Office (HBO)","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie J. Alvarez","Murray Bartlett","POINT (-122.4114878 37.7740686)","-122.4114878","37.7740686","South of Market","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"High Crimes","2002","Maiden Lane",,"Twentieth Century Fox Film Corporation","Twentieth Century Fox Film Corporation","Mel Brooks","Mel Brooks","Mel Brooks","Madeline Kahn",,"POINT (-122.4053532 37.7882182)","-122.4053532","37.7882182","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Phone/Jexi","2019","W Hotel, Trace bar - 181 3rd St.",,"CBS Films Inc.","Lionsgate","Jon Lucas, Scott Moore","Jon Lucas, Scott Moore","Adam Devine","Alexandra Shipp","Michael Pena","POINT (-122.4004457 37.7854527)","-122.4004457","37.7854527","Financial District/South Beach","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Birth of the Dragon","2016","Lands End Trail at Eagles Point/ Lincoln Park Golf Course","The character of Steve McKee was based on actor Steve McQueen who studied with Bruce Lee in the later 60's.","BOTD U.S. Productions, Inc.","Kylin Pictures","George Nolfi","Christopher Wilkinson, Stephen J. Rivele","Philip Ng","Billy Magnussen","Yu Xia","POINT (-122.4948301 37.7867005)","-122.4948301","37.7867005","Lincoln Park","1","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Jade","1995","Lombard & Hyde Streets",,"Paramount Pictures","Paramount Pictures","William Friedkin","Joe Eszterhas","David Caruso","Linda Fiorentino","Chazz Palminteri","POINT (-122.4196461 37.8020026)","-122.4196461","37.8020026","Russian Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"40 Days and 40 Nights","2002","The Walden House, Buena Vista Park","Established in 1867, Buena Vista Park is the oldest official park in San Francisco.","Miramax Films","Miramax Films","Michael Lehmann","Robert Perez","Josh Hartnett","Shaynnyn Sossamon",,"POINT (-122.4433186 37.7694065)","-122.4433186","37.7694065","Haight Ashbury","8","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"High Anxiety","1977","Fort Point (Presidio, Golden Gate National Recreation Area)","Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confederate general learned that the war had ended while end route to SF.","Twentieth Century Fox Film Corporation","Twentieth Century Fox Film Corporation","Mel Brooks","Mel Brooks","Mel Brooks","Madeline Kahn","Cloris Leachman","POINT (-122.47709 37.8106117)","-122.47709","37.8106117","Presidio","2","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Experiment in Terror","1962","1 Montgomery Street at Post",,"Columbia Pictures Corporation","Columbia Pictures","Blake Edwards","The Gordons","Glenn Ford","Lee Remick","Stefanie Powers","POINT (-122.4022503 37.7892447)","-122.4022503","37.7892447","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Chance Season 2","2017","Market St at Embarcadero",,"TVM Productions Inc.","Hulu","Rozann Dawson","Alexandra Cunningham","Hugh Laurie","Greta Lee","Ethan Suplee","POINT (-122.4212203 37.7735081)","-122.4212203","37.7735081","Mission","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Burglar","1987","California Academy of Sciences (Golden Gate Park)","Founded in 1853, 3 years after California joined the United States, the Academy was originally named the California Academy of Natural Sciences and was the first institution of its kind in the United States.","Warner Bros. Pictures","Warner Bros. Pictures","Hugh Wilson","Joseph Loeb III","Whoopi Goldberg","Bobcat Goldwait",,"POINT (-122.4660947 37.7698646)","-122.4660947","37.7698646","Golden Gate Park","7","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Terminator - Genisys","2015","California at Larkin",,"T5 Productions LLC","Paramount Pictures","Alan Taylor","James Cameron","Arnold Schwarzenegger","Jason Clarke",,"POINT (-122.4190547 37.790802)","-122.4190547","37.790802","Nob Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Quitters","2015","McLaren Lodge",,"Frederick & Ashbury, LLC.",,"Noah Pritzker","Noah Pritzker","Kara Hayward","Mira Sorvino","Saffron Burrows","POINT (-122.4547685 37.7717766)","-122.4547685","37.7717766","Golden Gate Park","1","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Smile Again, Jenny Lee","2015","Huntington Park (California & Taylor Streets, Nob Hill)",,"Carlo Caldana/Marguery Films",,"Carlo Caldana","Linda Demetrick","Craig Tsuyumine","Puneet Prasad","Larry Kitagawa","POINT (-122.4121403 37.7922657)","-122.4121403","37.7922657","Nob Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Sudden Impact","1983","Hall of Justice (850 Bryant Street)",,"Warner Bros. Pictures","Warner Bros. Pictures","Clint Eastwood","Harry Julian Fink","Clint Eastwood","Sondra Locke","Pat Hingle","POINT (-122.4041754 37.7761709)","-122.4041754","37.7761709","South of Market","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Sister Act","1992","St. Paul's Church (Church Street, Noe Valley)",,"Touchstone Pictures","Buena Vista Pictures","Emile Ardolino","Joseph Howard","Whoopi Goldberg","Maggie Smith",,"POINT (-122.4269434 37.7442642)","-122.4269434","37.7442642","Noe Valley","8","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Freebie and the Bean","1974","Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)","The Steinhart Aquarium is home to over 38,000 animals, which represent more than 900 species.","Warner Bros. Pictures","American Broadcasting Company (ABC)","Richard Rush","Robert Kaufman","Alan Arkin","James Caan","Loretta Swit","POINT (-122.4661345 37.7695812)","-122.4661345","37.7695812","Golden Gate Park","7","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Goliath- Season 4","2021","Hyde and Chestnut",,"Picrow, Inc.","Amazon Studios","Billy Bob Thornton, Lawrence Trilling, Derek Johansen","David E. Kelley, Jonathan Shapiro","Billy Bob Thornton","Nina Arianda","Tania Raymonde","POINT (-122.4198242 37.8029324)","-122.4198242","37.8029324","Russian Hill","2","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
